Team Name,Base Price,Current Price,Australia: Qualifying,Australia: Grand Prix ,Australia,China: Sprint,China: Qualifying,China: Grand Prix,China,Japan: Qualifying,Japan: Grand Prix ,Japan,Miami: Sprint,Miami: Qualifying,Miami: Grand Prix,Miami,Canada: Sprint,Canada: Qualifying,Canada: Grand Prix ,Canada,Monaco: Qualifying,Monaco: Grand Prix ,Monaco,Barcelona: Qualifying,Barcelona: Grand Prix ,Barcelona,Austria: Qualifying,Austria: Grand Prix ,Austria,Total,Avg,Avg(4d1),ΔAvgs,STDEV,Points per dollar,Team Code
Alpine,12.5,17.3,3,19,22,9,9,27,45,9,16,25,3,15,-1,17,11,6,29,46,7,28,35,3,28,31,3,18,21,92,30.7,35.0,4.3,12.50,1.77,alp
Aston Martin,10.3,6.3,-6,-32,-38,11,-1,-30,-20,-1,-11,-12,20,-1,19,38,-6,-1,-7,-14,-1,-3,-4,-1,-35,-36,-1,-10,-11,-70,-23.3,-16.0,7.3,13.32,-3.70,ast
Audi,6.6,5,6,-6,0,3,3,-10,-4,7,16,23,-30,6,-3,-27,1,3,7,11,3,18,21,7,-5,2,3,12,15,19,6.3,11.5,5.2,14.57,1.27,aud
Cadillac,6,4.8,-1,-12,-13,1,-1,22,22,-1,6,5,5,-1,20,24,11,-1,-8,2,-1,-12,-13,-1,-8,-9,-1,-34,-35,14,4.7,13.5,8.8,17.50,0.97,cad
Ferrari,23.3,25.7,21,48,69,36,25,58,119,22,53,75,12,23,22,57,9,19,41,69,25,4,29,20,38,58,27,29,56,263,87.7,97.0,9.3,27.30,3.41,fer
Haas,7.4,10.2,3,31,34,14,6,45,65,1,-5,-4,12,3,8,23,5,1,13,19,-14,-7,-21,1,15,16,3,10,13,95,31.7,49.5,17.8,34.56,3.10,haa
Mclaren,28.9,30.1,21,-2,19,12,21,-40,-7,24,48,72,22,21,67,110,15,25,-7,33,17,-3,14,21,46,67,19,30,49,84,28.0,45.5,17.5,40.26,0.93,mcl
Mercedes,29.3,31.7,29,67,96,23,29,63,115,29,63,92,11,26,78,104,21,29,26,76,25,45,70,28,11,39,27,58,85,303,101.0,105.5,4.5,12.29,3.19,mer
Red Bull Racing,28.2,30,8,34,42,18,15,12,45,8,17,25,9,4,18,31,-8,19,33,44,25,-7,18,21,38,59,19,49,68,112,37.3,43.5,6.2,10.79,1.24,red
Racing Bulls,6.3,11.1,15,20,35,10,3,37,50,6,12,18,-6,3,5,2,13,7,2,22,6,30,36,8,18,26,13,25,38,103,34.3,42.5,8.2,16.01,3.09,vrb
Williams,12,14.4,-4,24,20,25,-1,-2,22,1,8,9,9,3,30,42,6,1,-1,6,3,6,9,1,0,1,-1,-5,-6,51,17.0,21.0,4.0,7.00,1.18,wil
